TestDate;TestTime;BatchSerialNumber;BatchCustomer;BatchModuleType;BatchProtocolFile;ASCIIFileVersion;
26-09-2018;10:06:29;-;-;-;-;1.04;

CellParamArea [mm²];Tcell [°C];CellParamTkI [%/°C];CellParamTkU [%/°C];Tmonicell [°C];MonicellParamTkI [%/°C];CorrectedToInsol [W/m²];MonicellMvToInsol [W/m²/mV];MonicellSpectralMismatch;CorrectionTyp;IEC60891_RsType;IEC60891_TkI [mA/cm²/K];IEC60891_TkU [mV/K];IEC60891_Kfact [Ohm*cm²/K];IEC60891_FixValRs [Ohm];MeasureTimeLf [ms];ElectronicLoadType;MeasurementType;MonitorcellGainFactor;SectionMeasurementCountLf;IEC60891A_TkI [A/K];IEC60891A_TkU [V/K];IEC60891A_Kfact [Ohm/K];IEC60891A_FixValRs [Ohm];
1940352;24.59;0.07000;-0.30000;23.75;0.04700;1000.00000;19.91474;1.00000;IEC60891A;0;0.000300;-120.00000;0.873000;0.300000;40;EL2;LF;1.00000;1;0.005700;-0.120000;0.00005200;0.300000;

Isc [A];Uoc [V];Impp [A];Umpp [V];Pmpp [W];Eta [%];FF [%];Rser [Ohm];Rshunt [Ohm];Insol [W/m²];
0.08382905;37.21907054;0.05920877;30.61417971;1.81262797;0.09;58.10;-;4510.3;1000.182;

DispUFrom [V];DispUTo [V];DispUScalLines;DispUScalSkip;DispUDecimals;DispIFrom [A];DispITo [A];DispIScalLines;DispIScalSkip;DispIDecimals;MeasTime_raw [ms];MeasTime_cor [ms];
-5.000000;60.000000;13;1.000;1;-1.000000;11.000000;12;1.000;1;40.000;40.000;

Nr;Uraw [[V]];Iraw [[A]];Eraw [[mV]];Uflt [[V]];Iflt [[A]];Eflt [[mV]];Ucor [[V]];Icor [[A]];Ecor [[W/m2]];
95;21.658068362;0.064406410;5026.959810293;21.658132459;0.064539399;5027.520897116;21.608276122;0.066722447;1001.803976891;
96;21.922466097;0.064406410;5029.704256710;21.922209712;0.064472904;5028.374724890;21.872357724;0.066641462;1001.974114038;
97;22.185261422;0.064406410;5030.009195201;22.186415158;0.064393111;5028.911416634;22.136565903;0.066552563;1002.081057387;
98;22.449659157;0.064406410;5029.704256710;22.450876989;0.064326617;5029.130972347;22.401028854;0.066482344;1002.124806939;
99;22.715659303;0.064406410;5030.314133691;22.715595206;0.064273421;5029.106577268;22.665746948;0.066429562;1002.119945878;
100;22.980057038;0.064073938;5029.094379728;22.980377520;0.064220226;5028.874824015;22.930528083;0.066380298;1002.073765795;
101;23.246057183;0.063741467;5027.569687274;23.245288026;0.064180329;5028.594280603;23.195437162;0.066345161;1002.017863590;
102;23.510454919;0.064406410;5027.264748783;23.510198533;0.064180329;5028.484502747;23.460347110;0.066347024;1001.995988814;
103;23.774852654;0.064406410;5027.264748783;23.774980847;0.064153732;5028.545490445;23.725129735;0.066319392;1002.008141467;
104;24.039250389;0.064073938;5029.704256710;24.039699064;0.064087237;5028.801638777;23.989849257;0.066248551;1002.059182611;
105;24.305250534;0.064073938;5030.009195201;24.304417281;0.064007444;5029.094379728;24.254568966;0.066163792;1002.117515347;
106;24.569648269;0.064073938;5029.704256710;24.569071402;0.063887754;5029.301737902;24.519224145;0.066040584;1002.158834369;
107;24.832443594;0.063741467;5028.789441237;24.833725523;0.063701570;5029.435910838;24.783878952;0.065852124;1002.185570206;
108;25.098443740;0.063408995;5029.704256710;25.098507836;0.063488788;5029.594478853;25.048662077;0.065636653;1002.217167105;
109;25.362841475;0.063408995;5030.009195201;25.363354246;0.063276007;5029.692059170;25.313508988;0.065422216;1002.236611350;
110;25.628841620;0.063076524;5028.789441237;25.628264753;0.063036627;5029.801837027;25.578420059;0.065180975;1002.258486126;
111;25.893239356;0.062744052;5030.009195201;25.893239356;0.062797247;5030.106775518;25.843396218;0.064936424;1002.319249393;
112;26.157637091;0.062411580;5030.924010673;26.158149862;0.062571167;5030.497096786;26.108308715;0.064703725;1002.397026374;
113;26.423637236;0.062411580;5030.619072182;26.422996272;0.062371684;5030.814232816;26.373156742;0.064498866;1002.460220171;
114;26.688034971;0.062079109;5030.619072182;26.687778586;0.062158902;5031.045986069;26.637940239;0.064282155;1002.506400254;
115;26.954035117;0.062079109;5032.448703127;26.952496803;0.061959419;5031.180159005;26.902659143;0.064080398;1002.533136091;
116;27.215228031;0.061746637;5032.448703127;27.216958634;0.061733338;5031.045986069;27.167120297;0.063856591;1002.506400254;
117;27.481228177;0.061746637;5031.228949164;27.481484562;0.061507257;5030.728850039;27.431644617;0.063635887;1002.443206456;
118;27.747228322;0.061081694;5029.399318219;27.745946394;0.061241280;5030.350726310;27.696104531;0.063376320;1002.367860006;
119;28.011626057;0.061081694;5028.789441237;28.010344129;0.060975303;5030.009195201;27.960500534;0.063116134;1002.299805147;
120;28.272818972;0.060416750;5029.399318219;28.274805961;0.060682728;5029.753046868;28.224961068;0.062827903;1002.248764003;
121;28.538819117;0.060749222;5030.314133691;28.539652371;0.060390153;5029.716454249;28.489807299;0.062535949;1002.241472411;
122;28.803216852;0.060084279;5030.009195201;28.804691070;0.060057681;5029.875022265;28.754846812;0.062200788;1002.273069310;
123;29.069216998;0.059751807;5029.094379728;29.070050251;0.059711910;5030.179960755;29.020207552;0.061849846;1002.333832577;
124;29.336819554;0.059419335;5029.094379728;29.335729915;0.059339542;5030.692257420;29.285889829;0.061468792;1002.435914864;
125;29.601217289;0.058754392;5031.838826145;29.601537771;0.058940576;5031.399714719;29.551701292;0.061057834;1002.576885643;
126;29.867217435;0.058754392;5033.058580109;29.867345628;0.058528311;5032.168159715;29.817513064;0.060632547;1002.730009075;
127;30.133217580;0.058089449;5032.448703127;30.133089388;0.058089449;5032.948802252;30.083260801;0.060180460;1002.885563038;
128;30.399217726;0.057756977;5033.973395581;30.398640858;0.057637287;5033.814827566;30.348816682;0.059713632;1003.058130715;
129;30.665217872;0.057092034;5034.278334072;30.664000040;0.057145229;5034.571075023;30.614179715;0.059208771;1003.208823616;
130;30.929615607;0.056759562;5035.803026526;30.929231028;0.056639872;5035.217544623;30.879413997;0.058692473;1003.337641741;
131;31.194013342;0.056094619;5036.107965017;31.194205631;0.056094619;5035.766433907;31.144391398;0.058137932;1003.447015621;
132;31.458411077;0.055762147;5037.022780489;31.459052041;0.055549365;5036.193347794;31.409239986;0.057585456;1003.532084195;
133;31.724411223;0.054764732;5036.107965017;31.723834355;0.054977514;5036.364113349;31.674023179;0.057010716;1003.566111624;
134;31.990411368;0.054432260;5036.717841998;31.988552572;0.054418962;5036.327520730;31.938741222;0.056452783;1003.558820032;
135;32.251604282;0.053767317;5037.327718980;32.253078500;0.053847110;5035.985989620;32.203265429;0.055886709;1003.490765173;
136;32.517604428;0.053434845;5036.107965017;32.517732621;0.053275259;5035.302927401;32.467916094;0.055326415;1003.354655456;
